,file,b1,b2,b3,b4,class
0,badf2d31cdbd,43,104,96,181,opacity
1,badf2d31cdbd,175,66,203,134,opacity
2,8d95766f633e,161,93,220,200,opacity
3,1951ac929b71,24,70,93,235,opacity
4,1951ac929b71,137,73,208,248,opacity
5,69522a81a9b6,161,114,237,206,opacity
6,69522a81a9b6,18,138,98,215,opacity
7,98e895293a8c,132,79,225,219,opacity
8,98e895293a8c,8,62,88,220,opacity
9,d176b5544d10,163,72,228,202,opacity
10,d176b5544d10,40,158,128,211,opacity
11,8029bfa40f02,80,95,116,138,opacity
12,8029bfa40f02,159,115,219,154,opacity
13,afb37f29165d,155,77,236,159,opacity
14,afb37f29165d,56,32,108,74,opacity
15,7b0d8d2e8a45,25,67,94,204,opacity
16,7b0d8d2e8a45,122,51,203,192,opacity
17,ea608cd740a5,187,152,223,182,opacity
18,82ad2f6b6dd1,56,116,100,154,opacity
19,d14352da3a40,49,16,125,148,opacity
20,d14352da3a40,147,19,237,153,opacity
21,8b86757fa9fe,37,161,89,188,opacity
22,d4543383eeea,20,65,85,226,opacity
23,d4543383eeea,136,86,198,215,opacity
24,3198e7526afc,54,165,94,200,opacity
25,12b278488315,41,129,88,171,opacity
26,12b278488315,195,109,220,172,opacity
27,1160b9f2f639,172,146,209,181,opacity
28,648c3ab1901d,151,148,242,244,opacity
29,648c3ab1901d,10,45,102,244,opacity
30,62235a2912fe,32,107,70,184,opacity
31,62235a2912fe,174,130,206,193,opacity
32,a78f01529895,151,56,184,146,opacity
33,a78f01529895,45,69,78,130,opacity
34,a10ebe4a5522,67,70,119,140,opacity
35,a10ebe4a5522,161,88,214,168,opacity
36,db22a76373b1,169,131,235,193,opacity
37,c7b15df55367,22,154,58,221,opacity
38,c7b15df55367,180,129,209,203,opacity
39,7bbe8f7dc795,26,55,112,155,opacity
40,7bbe8f7dc795,155,57,217,164,opacity
41,705b277c5f03,55,83,114,222,opacity
42,705b277c5f03,188,65,248,221,opacity
43,6739839069f8,42,93,97,223,opacity
44,6739839069f8,138,82,212,215,opacity
45,6d496f79fe93,206,92,256,207,opacity
46,6d496f79fe93,48,0,133,183,opacity
47,f658eafd6b22,18,45,90,196,opacity
48,f658eafd6b22,120,32,222,185,opacity
49,ae51872bd2a0,164,52,230,193,opacity
50,ae51872bd2a0,31,58,104,202,opacity
51,f3db55688feb,61,28,119,129,opacity
52,f3db55688feb,179,69,228,164,opacity
53,c0029eae23ca,36,22,125,181,opacity
54,c0029eae23ca,164,74,223,211,opacity
55,73368068ce90,24,132,53,229,opacity
56,73368068ce90,178,83,232,232,opacity
57,42741418faa7,46,9,87,124,opacity
58,42741418faa7,172,47,199,88,opacity
59,d4a95c651918,33,53,96,128,opacity
60,2909830fc390,139,45,230,223,opacity
61,2909830fc390,22,114,77,211,opacity
62,0c5283a41d9d,12,58,73,158,opacity
63,79b7ba0210bb,148,58,228,186,opacity
64,79b7ba0210bb,39,45,106,191,opacity
65,4a49c6fab60b,191,97,245,159,opacity
66,4a49c6fab60b,70,168,114,240,opacity
67,10181eeb21eb,195,83,240,192,opacity
68,10181eeb21eb,58,84,85,112,opacity
69,cc54237ef4db,147,65,205,106,opacity
70,7e99b9eb897b,64,65,99,95,opacity
71,7e99b9eb897b,186,75,216,104,opacity
72,3030bfea4cc1,134,57,185,187,opacity
73,3030bfea4cc1,34,60,89,166,opacity
74,8671f7920c4f,175,161,231,255,opacity
75,8671f7920c4f,41,175,107,253,opacity
76,3137a8c7c4b9,40,37,91,169,opacity
77,044839a5b51f,68,51,117,181,opacity
78,044839a5b51f,174,90,224,185,opacity
79,8128e3db6050,55,139,97,195,opacity
80,8128e3db6050,168,158,229,226,opacity
81,015ac3c7199d,160,11,252,232,opacity
82,015ac3c7199d,42,11,114,218,opacity
83,db4f4f01f852,26,136,99,198,opacity
84,db4f4f01f852,150,138,219,200,opacity
85,0cd6f72ea375,146,97,186,179,opacity
86,7e35c1c82ff3,57,101,121,175,opacity
87,7e35c1c82ff3,155,127,219,194,opacity
88,b70e58bfaa55,149,159,228,213,opacity
89,b70e58bfaa55,27,119,92,215,opacity
90,aaa47fa94799,45,177,97,223,opacity
91,b7f90870e6cb,147,94,225,190,opacity
92,b7f90870e6cb,34,39,98,182,opacity
93,24450cd3727d,32,30,63,109,opacity
94,24450cd3727d,174,42,203,102,opacity
95,99bbc821132d,58,82,110,155,opacity
96,99bbc821132d,197,73,237,165,opacity
97,6ad4a0268f1c,21,85,70,231,opacity
98,6ad4a0268f1c,201,197,254,238,opacity
99,7a7a343ae1c1,34,163,107,220,opacity
100,7a7a343ae1c1,172,148,241,233,opacity
101,b485fd7ad826,140,75,182,149,opacity
102,b485fd7ad826,58,58,85,98,opacity
103,9fe6a60764df,62,96,90,125,opacity
104,9fe6a60764df,168,146,220,192,opacity
105,ca614678802e,37,35,101,146,opacity
106,ca614678802e,144,35,206,155,opacity
107,52c97017741a,152,80,225,199,opacity
108,52c97017741a,58,20,136,160,opacity
109,141d909aeeec,53,145,87,177,opacity
110,141d909aeeec,186,145,207,185,opacity
111,4fe716de1262,130,61,226,215,opacity
112,4fe716de1262,25,55,111,208,opacity
113,3e6feb41cc6a,168,25,208,134,opacity
114,3e6feb41cc6a,58,12,92,101,opacity
115,0f501fe67203,139,44,211,171,opacity
116,0f501fe67203,50,48,102,194,opacity
117,460716e5a10f,135,55,199,151,opacity
118,460716e5a10f,16,27,105,158,opacity
119,a81a66becc7b,146,161,215,219,opacity
120,98721e6d2bde,62,149,101,183,opacity
121,98721e6d2bde,69,117,100,146,opacity
122,98721e6d2bde,58,66,103,112,opacity
123,98721e6d2bde,183,161,225,203,opacity
124,0ecb5373eee0,38,69,73,151,opacity
125,0ecb5373eee0,179,81,200,157,opacity
126,0ecab6ede004,185,114,213,174,opacity
127,5687abeb8010,139,67,203,199,opacity
128,5687abeb8010,32,66,99,194,opacity
129,fe7fd0793fb3,65,101,108,163,opacity
130,343699137ae1,38,113,106,163,opacity
131,343699137ae1,182,125,248,178,opacity
132,42c79b2cde7f,37,58,100,166,opacity
133,42c79b2cde7f,170,47,220,160,opacity
134,920d7ef35702,165,170,222,235,opacity
135,920d7ef35702,57,178,114,218,opacity
136,920d7ef35702,158,55,189,114,opacity
137,9aec542242bc,25,29,97,180,opacity
138,9aec542242bc,128,30,184,189,opacity
139,2ea9add1d985,34,94,106,203,opacity
140,2ea9add1d985,155,107,222,208,opacity
141,4467cda706e7,7,88,78,189,opacity
142,4467cda706e7,128,72,206,204,opacity
143,c3691b9bc16b,43,85,106,137,opacity
144,c3691b9bc16b,155,59,216,133,opacity
145,b297e82a912c,61,140,111,187,opacity
146,b297e82a912c,175,143,214,196,opacity
147,e4e568ccef7e,173,71,232,212,opacity
148,e4e568ccef7e,65,61,103,172,opacity
149,c7632a48f7e7,166,147,207,205,opacity
150,ea74b77e1d4d,181,77,245,142,opacity
151,17f9fe06e00e,139,121,173,193,opacity
152,6660efe110ef,72,127,100,192,opacity
153,6660efe110ef,141,113,165,171,opacity
154,4f7d8597167f,44,102,92,144,opacity
155,4f7d8597167f,169,105,210,162,opacity
156,548939938de2,145,143,205,213,opacity
157,4cf49226c69f,61,20,139,159,opacity
158,4cf49226c69f,187,47,239,159,opacity
159,e46f7573012c,163,38,239,176,opacity
160,e46f7573012c,57,24,121,146,opacity
161,84d53c9ac288,52,66,86,126,opacity
162,84d53c9ac288,181,65,203,110,opacity
163,31ba70406e2f,37,129,92,166,opacity
164,31ba70406e2f,180,125,222,175,opacity
165,3be7ffcec513,23,58,103,185,opacity
166,3be7ffcec513,146,56,225,201,opacity
167,b77e1333a2b3,191,89,228,155,opacity
168,b77e1333a2b3,46,87,77,181,opacity
169,bb858a8a8391,55,67,107,170,opacity
170,bb858a8a8391,144,80,184,176,opacity
171,b0152c574f4f,175,109,216,223,opacity
172,7be323e5f816,8,91,128,234,opacity
173,7be323e5f816,146,91,220,255,opacity
174,f05302f48c86,45,34,96,153,opacity
175,f05302f48c86,165,28,227,162,opacity
176,3b61e209092b,38,88,97,223,opacity
177,3b61e209092b,145,86,231,207,opacity
178,ed3bea59397c,44,30,120,194,opacity
179,ed3bea59397c,172,105,214,191,opacity
180,5af8dfe95d88,177,40,241,211,opacity
181,5af8dfe95d88,42,16,122,101,opacity
182,16c9f1b33188,4,21,106,176,opacity
183,16c9f1b33188,125,29,201,226,opacity
184,0fc323d12666,42,119,94,160,opacity
185,0fc323d12666,144,119,184,161,opacity
186,0fc323d12666,183,55,216,106,opacity
187,27b51f932133,169,105,241,191,opacity
188,212f421e7817,32,66,90,180,opacity
189,212f421e7817,172,84,228,179,opacity
190,f74ba5dd0f35,156,44,222,170,opacity
191,f74ba5dd0f35,67,53,129,162,opacity
192,f4847d161683,59,58,127,166,opacity
193,f4847d161683,177,60,233,166,opacity
194,d19950710463,138,116,194,184,opacity
195,38e710e131ef,62,103,114,144,opacity
196,fed009ec0e3f,62,35,157,239,opacity
197,fed009ec0e3f,171,118,256,256,opacity
198,94e48bd8b703,161,115,250,191,opacity
199,94e48bd8b703,19,121,110,197,opacity
200,0044e449aae1,153,102,236,194,opacity
201,0044e449aae1,41,107,100,160,opacity
202,c0e8c63f22c5,142,43,205,179,opacity
203,c0e8c63f22c5,39,29,101,171,opacity
204,32456961c278,39,74,102,244,opacity
205,32456961c278,144,78,219,213,opacity
206,a6b6e0c9dde0,2,150,83,211,opacity
207,a6b6e0c9dde0,109,165,194,221,opacity
208,02c054cac191,28,137,81,197,opacity
209,02c054cac191,153,120,178,185,opacity
210,5bfab860f585,185,74,228,123,opacity
211,ae781da41bff,45,104,75,154,opacity
212,ae781da41bff,161,79,203,139,opacity
213,c5970294a8c3,69,7,138,194,opacity
214,c5970294a8c3,182,66,239,211,opacity
215,dbb746d86776,130,78,184,128,opacity
216,dbb746d86776,34,134,86,173,opacity
217,4b9cee7ecf44,39,27,109,136,opacity
218,4b9cee7ecf44,149,21,211,133,opacity
219,ac94cb447ca7,9,71,50,186,opacity
220,ac94cb447ca7,167,103,198,207,opacity
221,4fbaae87210f,71,34,112,195,opacity
